Estado,Total_Fundamental,Total_Medio,Total_Geral,Taxa_Abandono_EF2008,Taxa_Abandono_EM2008,Abandono_EF,Abandono_EM,Total_Abandonos
Acre,164364.0,33113.0,197477.0,4.1,16.8,6739,5563,12302
Alagoas,660805.0,128937.0,789742.0,5.7,21.8,37666,28108,65774
Amapá,142182.0,35733.0,177915.0,3.5,22.9,4976,8183,13159
Amazonas,796224.0,159656.0,955880.0,6.2,17.9,49366,28578,77944
Bahia,2622197.0,650127.0,3272324.0,5.9,24.7,154710,160581,315291
Ceará,1595951.0,409060.0,2005011.0,2.6,17.7,41495,72404,113899
Distrito Federal,426153.0,91277.0,517430.0,1.1,5.8,4688,5294,9982
Espírito Santo,558031.0,140214.0,698245.0,1.2,14.0,6696,19630,26326
Goiás,950040.0,264279.0,1214319.0,2.7,18.2,25651,48099,73750
Maranhão,1413356.0,327256.0,1740612.0,4.5,20.5,63601,67087,130688
Mato Grosso,524331.0,148084.0,672415.0,2.5,23.2,13108,34355,47463
Mato Grosso do Sul,429585.0,91135.0,520720.0,1.7,14.2,7303,12941,20244
Minas Gerais,3221775.0,834368.0,4056143.0,1.1,13.2,35440,110137,145577
Paraná,1717892.0,472244.0,2190136.0,0.5,12.6,8589,59503,68092
Paraíba,709956.0,154247.0,864203.0,7.0,24.5,49697,37791,87488
Pará,1542952.0,337819.0,1880771.0,6.9,25.1,106464,84793,191257
Pernambuco,1566523.0,440352.0,2006875.0,4.7,21.5,73627,94676,168303
Piauí,619729.0,185710.0,805439.0,4.1,29.7,25409,55156,80565
Rio Grande do Norte,562177.0,155414.0,717591.0,4.6,27.9,25860,43361,69221
Rio Grande do Sul,1613255.0,429630.0,2042885.0,0.7,16.4,11293,70459,81752
Rio de Janeiro,2405604.0,656444.0,3062048.0,2.7,18.0,64951,118160,183111
Rondônia,302751.0,60441.0,363192.0,2.2,16.0,6661,9671,16332
Roraima,85096.0,17146.0,102242.0,1.2,10.5,1021,1800,2821
Santa Catarina,923736.0,243028.0,1166764.0,0.3,9.4,2771,22845,25616
Sergipe,381911.0,86868.0,468779.0,4.5,24.6,17186,21370,38556
São Paulo,6075606.0,1745294.0,7820900.0,0.3,4.9,18227,85519,103746
Tocantins,276644.0,70992.0,347636.0,1.6,14.2,4426,10081,14507
