UF,Resultado_Multiplicacao_EF2007,Resultado_Multiplicacao_EM2007
AC,9750,4555
AL,80084,25232
AM,69306,16804
AP,6512,7006
BA,256306,130525
CE,78150,59400
DF,6980,7879
GO,54497,43133
MA,88298,55316
MS,15898,11938
MT,26438,26227
PA,143578,74011
PB,82292,29477
PE,162264,96752
PI,38104,35965
RN,40721,38283
RO,13802,7720
RR,2807,1496
SE,27675,15900
TO,7476,8200
