Estado,Total_Fundamental,Total_Medio,Total_Geral,Taxa_Abandono_EF2007,Taxa_Abandono_EM2007,Abandono_EF,Abandono_EM,Total_Abandonos
Acre,154128.0,30625.0,184753.0,2.9,18.0,4470,5512,9982
Alagoas,668348.0,130453.0,798801.0,7.2,25.2,48121,32874,80995
Amapá,138602.0,35771.0,174373.0,5.0,23.8,6930,8513,15443
Amazonas,776423.0,149479.0,925902.0,6.6,14.1,51244,21077,72321
Bahia,2644938.0,655358.0,3300296.0,7.0,24.7,185146,161873,347019
Ceará,1630636.0,404415.0,2035051.0,3.1,19.3,50550,78052,128602
Distrito Federal,387804.0,98499.0,486303.0,1.6,9.6,6205,9456,15661
Espírito Santo,559179.0,140823.0,700002.0,1.5,15.3,8388,21546,29934
Goiás,971586.0,272568.0,1244154.0,3.4,19.8,33034,53968,87002
Maranhão,1422111.0,316471.0,1738582.0,4.6,22.0,65417,69624,135041
Mato Grosso,528641.0,146783.0,675424.0,3.6,20.8,19031,30531,49562
Mato Grosso do Sul,426649.0,94650.0,521299.0,2.2,15.6,9386,14765,24151
Minas Gerais,3274223.0,846281.0,4120504.0,1.4,14.4,45839,121864,167703
Paraná,1702673.0,469272.0,2171945.0,0.5,11.5,8513,53966,62479
Paraíba,714187.0,155331.0,869518.0,7.4,24.5,52850,38056,90906
Pará,1563114.0,368320.0,1931434.0,9.6,23.5,150059,86555,236614
Pernambuco,1563384.0,437823.0,2001207.0,6.0,28.0,93803,122590,216393
Piauí,628299.0,181772.0,810071.0,4.2,26.2,26389,47624,74013
Rio Grande do Norte,567843.0,158223.0,726066.0,4.6,30.4,26121,48100,74221
Rio Grande do Sul,1643944.0,440978.0,2084922.0,1.1,17.4,18083,76730,94813
Rio de Janeiro,2327233.0,642953.0,2970186.0,3.0,17.9,69817,115089,184906
Rondônia,302891.0,58633.0,361524.0,3.3,16.4,9995,9616,19611
Roraima,83635.0,16835.0,100470.0,2.0,11.2,1673,1886,3559
Santa Catarina,930379.0,238408.0,1168787.0,0.5,9.2,4652,21934,26586
Sergipe,381696.0,87062.0,468758.0,6.3,24.8,24047,21591,45638
São Paulo,6073250.0,1723514.0,7796764.0,0.3,5.6,18220,96517,114737
Tocantins,280827.0,70875.0,351702.0,1.9,14.7,5336,10419,15755
