Estado,Total_Fundamental,Total_Medio,Total_Geral,Taxa_Abandono_EF2020,Taxa_Abandono_EM2020,Abandono_EF,Abandono_EM,Total_Abandonos
Acre,156679.0,39287.0,195966.0,1.8,3.3,2820,1296,4116
Alagoas,464704.0,117488.0,582192.0,1.1,0.5,5112,587,5699
Amapá,134820.0,31639.0,166459.0,1.4,2.4,1887,759,2646
Amazonas,700104.0,207688.0,907792.0,0.8,0.1,5601,208,5809
Bahia,1947177.0,557441.0,2504618.0,2.1,1.0,40891,5574,46465
Ceará,1165368.0,362470.0,1527838.0,0.9,2.8,10488,10149,20637
Distrito Federal,373032.0,111860.0,484892.0,0.2,0.6,746,671,1417
Espírito Santo,501920.0,120046.0,621966.0,0.5,2.2,2510,2641,5151
Goiás,861291.0,254320.0,1115611.0,0.7,1.7,6029,4323,10352
Maranhão,1123973.0,283607.0,1407580.0,2.3,5.3,25851,15031,40882
Mato Grosso,477717.0,140030.0,617747.0,0.2,0.7,955,980,1935
Mato Grosso do Sul,392015.0,104878.0,496893.0,0.3,0.7,1176,734,1910
Minas Gerais,2462047.0,746518.0,3208565.0,1.9,7.3,46779,54496,101275
Paraná,1407978.0,425477.0,1833455.0,0.5,3.1,7040,13190,20230
Paraíba,538748.0,138340.0,677088.0,2.5,2.4,13469,3320,16789
Pará,1394011.0,354447.0,1748458.0,1.7,0.7,23698,2481,26179
Pernambuco,1267292.0,342892.0,1610184.0,1.3,0.3,16475,1029,17504
Piauí,458077.0,125788.0,583865.0,1.6,5.3,7329,6667,13996
Rio Grande do Norte,448764.0,124711.0,573475.0,1.6,0.6,7180,748,7928
Rio Grande do Sul,1269309.0,343314.0,1612623.0,0.3,6.2,3808,21285,25093
Rio de Janeiro,1967998.0,600032.0,2568030.0,1.2,0.5,23616,3000,26616
Rondônia,252638.0,62664.0,315302.0,2.1,2.3,5305,1441,6746
Roraima,104202.0,24225.0,128427.0,0.7,0.8,729,194,923
Santa Catarina,876392.0,254670.0,1131062.0,0.2,3.6,1753,9168,10921
Sergipe,322614.0,77638.0,400252.0,1.1,2.0,3549,1553,5102
São Paulo,5414208.0,1533097.0,6947305.0,0.2,0.4,10828,6132,16960
Tocantins,235752.0,66186.0,301938.0,1.1,4.1,2593,2714,5307
