UF,Resultado_Multiplicacao_EF2014,Resultado_Multiplicacao_EM2014
AC,4414,4394
AL,31217,17731
AM,31658,23077
AP,3929,4918
BA,97287,56217
CE,23000,30405
DF,4769,5750
ES,6742,8967
GO,13020,15076
MA,41125,30328
MG,36083,59728
MS,8571,8090
MT,3171,19725
PA,66400,57964
PB,27868,17390
PE,37444,12168
PI,15332,18684
PR,19774,32103
RJ,36826,33018
RN,17130,13452
RO,6923,5985
RR,2271,1867
RS,16801,31325
SC,4522,18579
SE,15405,11017
SP,47375,79958
TO,4187,5665
