UF,Resultado_Multiplicacao_EF2017,Resultado_Multiplicacao_EM2017
AC,3799,2696
AL,16720,10249
AM,21497,17815
AP,3235,3287
BA,76229,47814
CE,13602,21931
DF,4577,5020
ES,4003,3605
GO,6618,5190
MA,30139,19233
MG,30345,60133
MS,5757,7356
MT,2978,14504
PA,54112,43590
PB,21570,15918
PE,22468,5022
PI,10034,13253
PR,13748,29796
RJ,26520,23108
RN,14372,11536
RO,3502,3791
RR,1747,1739
RS,13452,25799
SC,3944,13841
SE,10278,8540
SP,32191,59678
TO,3049,3556
