Estado,Total_Fundamental,Total_Medio,Total_Geral,Taxa_Abandono_EF2011,Taxa_Abandono_EM2011,Abandono_EF,Abandono_EM,Total_Abandonos
Acre,166328.0,38502.0,204830.0,3.4,11.8,5655,4543,10198
Alagoas,613016.0,134045.0,747061.0,7.6,18.7,46589,25066,71655
Amapá,143273.0,37983.0,181256.0,3.2,14.5,4585,5508,10093
Amazonas,767123.0,169842.0,936965.0,5.8,10.4,44493,17664,62157
Bahia,2374231.0,598510.0,2972741.0,5.5,12.5,130583,74814,205397
Ceará,1425749.0,412586.0,1838335.0,2.6,11.5,37069,47447,84516
Distrito Federal,418250.0,109587.0,527837.0,1.1,7.3,4601,8000,12601
Espírito Santo,536595.0,135803.0,672398.0,1.7,7.7,9122,10457,19579
Goiás,914290.0,264689.0,1178979.0,2.7,6.9,24686,18264,42950
Maranhão,1335930.0,312192.0,1648122.0,3.5,13.7,46758,42770,89528
Mato Grosso,484536.0,153516.0,638052.0,1.1,11.5,5330,17654,22984
Mato Grosso do Sul,426625.0,100250.0,526875.0,2.7,10.3,11519,10326,21845
Minas Gerais,2929569.0,861022.0,3790591.0,2.0,9.1,58591,78353,136944
Paraná,1600040.0,481962.0,2082002.0,1.6,6.0,25601,28918,54519
Paraíba,642093.0,143125.0,785218.0,6.6,16.3,42378,23329,65707
Pará,1536205.0,352602.0,1888807.0,5.1,17.7,78346,62411,140757
Pernambuco,1482659.0,408613.0,1891272.0,4.1,10.1,60789,41270,102059
Piauí,566315.0,162027.0,728342.0,3.3,15.5,18688,25114,43802
Rio Grande do Norte,523232.0,148561.0,671793.0,5.4,19.3,28255,28672,56927
Rio Grande do Sul,1503344.0,404940.0,1908284.0,1.4,10.1,21047,40899,61946
Rio de Janeiro,2289349.0,609829.0,2899178.0,2.1,10.1,48076,61593,109669
Rondônia,289690.0,65424.0,355114.0,3.0,11.6,8691,7589,16280
Roraima,93607.0,19757.0,113364.0,2.6,7.4,2434,1462,3896
Santa Catarina,865771.0,250791.0,1116562.0,0.9,8.0,7792,20063,27855
Sergipe,369911.0,81971.0,451882.0,4.5,13.2,16646,10820,27466
São Paulo,5926923.0,1873180.0,7800103.0,0.9,4.5,53342,84293,137635
Tocantins,265822.0,70520.0,336342.0,1.6,8.6,4253,6065,10318
