UF,Resultado_Multiplicacao_EF2018,Resultado_Multiplicacao_EM2018
AC,3555,2388
AL,13917,9645
AM,19732,21650
AP,3192,3725
BA,67193,50611
CE,10044,16837
DF,2643,3957
ES,3350,3183
GO,6479,5728
MA,26883,20719
MG,27284,63353
MS,5296,7557
MT,2790,12962
PA,51171,46093
PB,16809,13285
PE,16844,3985
PI,8571,12012
PR,11459,26629
RJ,25976,24151
RN,12087,10760
RO,3637,3902
RR,1822,1734
RS,12032,24591
SC,3611,12799
SE,8327,6563
SP,28904,52525
TO,2611,3066
