Estado,Total_Fundamental,Total_Medio,Total_Geral,Taxa_Abandono_EF2021,Taxa_Abandono_EM2021,Abandono_EF,Abandono_EM,Total_Abandonos
Acre,153015.0,40670.0,193685.0,2.6,6.2,3978,2522,6500
Alagoas,458782.0,124588.0,583370.0,1.1,7.8,5047,9718,14765
Amapá,133839.0,34129.0,167968.0,2.1,7.5,2811,2560,5371
Amazonas,702763.0,211302.0,914065.0,2.5,5.5,17569,11622,29191
Bahia,1946957.0,635569.0,2582526.0,3.3,10.6,64250,67370,131620
Ceará,1161434.0,367574.0,1529008.0,0.3,1.9,3484,6984,10468
Distrito Federal,369128.0,116843.0,485971.0,0.1,1.0,369,1168,1537
Espírito Santo,503003.0,129115.0,632118.0,0.7,2.3,3521,2970,6491
Goiás,855021.0,258549.0,1113570.0,0.6,1.2,5130,3103,8233
Maranhão,1112636.0,279213.0,1391849.0,2.5,6.4,27816,17870,45686
Mato Grosso,486568.0,157928.0,644496.0,0.4,5.3,1946,8370,10316
Mato Grosso do Sul,391975.0,109762.0,501737.0,0.4,1.4,1568,1537,3105
Minas Gerais,2407107.0,692668.0,3099775.0,0.8,3.5,19257,24243,43500
Paraná,1348296.0,378660.0,1726956.0,0.2,1.2,2697,4544,7241
Paraíba,540919.0,147866.0,688785.0,1.8,3.3,9737,4880,14617
Pará,1389983.0,391603.0,1781586.0,3.1,15.6,43089,61090,104179
Pernambuco,1249850.0,341641.0,1591491.0,0.6,1.4,7499,4783,12282
Piauí,459871.0,132544.0,592415.0,1.4,4.5,6438,5964,12402
Rio Grande do Norte,447692.0,134147.0,581839.0,3.7,14.7,16565,19720,36285
Rio Grande do Sul,1257992.0,346363.0,1604355.0,1.5,9.4,18870,32558,51428
Rio de Janeiro,1945408.0,581323.0,2526731.0,0.9,1.9,17509,11045,28554
Rondônia,244815.0,69117.0,313932.0,1.1,5.0,2693,3456,6149
Roraima,103123.0,26708.0,129831.0,1.5,4.8,1547,1282,2829
Santa Catarina,900240.0,266537.0,1166777.0,0.4,7.4,3601,19724,23325
Sergipe,320638.0,83194.0,403832.0,1.4,3.1,4489,2579,7068
São Paulo,5396803.0,1644465.0,7041268.0,0.6,3.3,32381,54267,86648
Tocantins,227743.0,68479.0,296222.0,0.6,3.3,1366,2260,3626
