Estado,Total_Fundamental,Total_Medio,Total_Geral,Taxa_Abandono_EF2023,Taxa_Abandono_EM2023,Abandono_EF,Abandono_EM,Total_Abandonos
Acre,147350.0,40216.0,187566.0,2.5,6.1,3684,2453,6137
Alagoas,439014.0,120878.0,559892.0,0.6,2.6,2634,3143,5777
Amapá,131948.0,32435.0,164383.0,1.1,4.8,1451,1557,3008
Amazonas,692623.0,189771.0,882394.0,1.3,4.2,9004,7970,16974
Bahia,1865574.0,517073.0,2382647.0,1.6,4.8,29849,24820,54669
Ceará,1134636.0,358735.0,1493371.0,0.2,2.0,2269,7175,9444
Distrito Federal,361438.0,111437.0,472875.0,0.5,3.0,1807,3343,5150
Espírito Santo,498357.0,126068.0,624425.0,0.3,1.6,1495,2017,3512
Goiás,868222.0,224130.0,1092352.0,0.3,0.6,2605,1345,3950
Maranhão,1045700.0,283486.0,1329186.0,1.0,3.4,10457,9639,20096
Mato Grosso,507089.0,137021.0,644110.0,0.2,2.5,1014,3426,4440
Mato Grosso do Sul,393616.0,103814.0,497430.0,0.5,3.6,1968,3737,5705
Minas Gerais,2343279.0,716517.0,3059796.0,0.7,5.0,16403,35826,52229
Paraná,1365869.0,403394.0,1769263.0,0.1,0.6,1366,2420,3786
Paraíba,523996.0,140067.0,664063.0,1.3,6.5,6812,9104,15916
Pará,1331723.0,324258.0,1655981.0,1.7,0.4,22639,1297,23936
Pernambuco,1229419.0,338436.0,1567855.0,0.4,0.9,4918,3046,7964
Piauí,439111.0,128628.0,567739.0,0.5,2.0,2196,2573,4769
Rio Grande do Norte,437133.0,127507.0,564640.0,1.5,8.1,6557,10328,16885
Rio Grande do Sul,1255794.0,349367.0,1605161.0,0.8,7.7,10046,26901,36947
Rio de Janeiro,1945098.0,554816.0,2499914.0,0.6,4.2,11671,23302,34973
Rondônia,227246.0,71396.0,298642.0,0.7,3.9,1591,2784,4375
Roraima,111096.0,27821.0,138917.0,1.3,4.3,1444,1196,2640
Santa Catarina,941272.0,267040.0,1208312.0,0.3,4.4,2824,11750,14574
Sergipe,305930.0,83603.0,389533.0,0.9,2.6,2753,2174,4927
São Paulo,5343271.0,1832726.0,7175997.0,0.4,2.8,21373,51316,72689
Tocantins,222404.0,66103.0,288507.0,0.4,1.8,890,1190,2080
