UF,Resultado_Multiplicacao_EF2010,Resultado_Multiplicacao_EM2010
AC,7163,4498
AL,54332,22937
AM,50723,16452
AP,4452,5753
BA,160988,91959
CE,42244,43339
DF,5033,7118
ES,9551,9222
GO,35068,31794
MA,55509,46486
MG,60335,72966
MS,12370,10845
MT,5600,16308
PA,95223,68568
PB,51688,25464
PE,71178,47648
PI,21790,27888
PR,33226,31939
RJ,59203,80005
RN,30088,25691
RO,9714,7062
RR,2377,1259
RS,22448,45181
SC,7109,17396
SE,18854,12852
SP,51633,81807
TO,5010,5220
