Estado,Total_Fundamental,Total_Medio,Total_Geral,Taxa_Abandono_EF2010,Taxa_Abandono_EM2010,Abandono_EF,Abandono_EM,Total_Abandonos
Acre,166200.0,36295.0,202495.0,3.8,15.3,6316,5553,11869
Alagoas,630889.0,130247.0,761136.0,4.2,22.3,26497,29045,55542
Amapá,144597.0,37871.0,182468.0,2.0,19.5,2892,7385,10277
Amazonas,771963.0,162113.0,934076.0,5.1,12.7,39370,20588,59958
Bahia,2450008.0,589012.0,3039020.0,3.3,19.4,80850,114268,195118
Ceará,1485827.0,411176.0,1897003.0,1.6,13.1,23773,53864,77637
Distrito Federal,419477.0,107852.0,527329.0,0.7,8.9,2936,9599,12535
Espírito Santo,540757.0,131816.0,672573.0,0.9,8.9,4867,11732,16599
Goiás,929582.0,270624.0,1200206.0,1.6,13.2,14873,35722,50595
Maranhão,1363049.0,318324.0,1681373.0,2.7,17.8,36802,56662,93464
Mato Grosso,489220.0,146054.0,635274.0,0.7,13.3,3425,19425,22850
Mato Grosso do Sul,430963.0,99029.0,529992.0,1.2,13.7,5172,13567,18739
Minas Gerais,3037343.0,836390.0,3873733.0,0.6,10.8,18224,90330,108554
Paraná,1660807.0,479522.0,2140329.0,0.3,7.9,4982,37882,42864
Paraíba,661105.0,146876.0,807981.0,4.2,22.2,27766,32606,60372
Pará,1553080.0,356885.0,1909965.0,5.1,21.8,79207,77801,157008
Pernambuco,1501732.0,429476.0,1931208.0,2.4,12.4,36042,53255,89297
Piauí,581204.0,167418.0,748622.0,2.4,21.9,13949,36665,50614
Rio Grande do Norte,536486.0,149524.0,686010.0,3.1,21.5,16631,32148,48779
Rio Grande do Sul,1540142.0,411763.0,1951905.0,0.6,14.3,9241,58882,68123
Rio de Janeiro,2318963.0,623706.0,2942669.0,1.8,15.3,41741,95427,137168
Rondônia,293177.0,61628.0,354805.0,1.4,13.6,4104,8381,12485
Roraima,91556.0,18463.0,110019.0,1.2,8.2,1099,1514,2613
Santa Catarina,880591.0,248209.0,1128800.0,0.2,9.4,1761,23332,25093
Sergipe,373009.0,82969.0,455978.0,2.1,20.2,7833,16760,24593
São Paulo,6025963.0,1839727.0,7865690.0,0.4,5.3,24104,97506,121610
Tocantins,270517.0,65678.0,336195.0,0.8,10.3,2164,6765,8929
