UF,Resultado_Multiplicacao_EF2008,Resultado_Multiplicacao_EM2008
AC,9160,4732
AL,65662,21701
AM,69449,22433
AP,5703,6584
BA,236954,128374
CE,69178,56456
DF,8096,4563
ES,17005,16079
GO,46560,39694
MA,80754,52772
MG,93785,91388
MS,12513,10784
MT,23521,28620
PA,131791,74225
PB,73013,29099
PE,131137,79120
PI,34799,41150
PR,40732,48666
RJ,82976,97237
RN,39883,35116
RO,12612,7631
RR,2620,1488
RS,25365,53354
SC,7318,17572
SE,26552,15896
SP,48958,75077
TO,6996,7980
