UF,Resultado_Multiplicacao_EF2011,Resultado_Multiplicacao_EM2011
AC,5752,4544
AL,46747,24924
AM,44652,17642
AP,4553,5503
BA,128775,74210
CE,37748,47687
DF,4600,7999
GO,24583,18239
MA,47108,42708
MS,11400,10245
MT,4931,17470
PA,79104,62501
PB,42312,23326
PE,61561,40940
PI,18114,25102
RN,28105,28575
RO,8445,7558
RR,2401,1462
SE,16661,10725
TO,4217,6004
