UF,Resultado_Multiplicacao_EF2012,Resultado_Multiplicacao_EM2012
AC,5387,3978
AL,44120,25434
AM,43314,20986
AP,5008,6926
BA,127186,83389
CE,31548,39430
DF,5763,8159
ES,7501,9904
GO,23221,18783
MA,48219,36761
MG,50224,75486
MS,10456,10246
MT,5238,20751
PA,73215,59419
PB,38434,21060
PE,53976,28709
PI,19337,26387
PR,24657,29736
RJ,39930,44523
RN,23789,24222
RO,7536,7515
RR,3036,2345
RS,19000,41430
SC,6755,17529
SE,17512,11121
SP,50513,86249
TO,4356,4933
