UF,Resultado_Multiplicacao_EF2022,Resultado_Multiplicacao_EM2022
AC,4025,3684
AL,7096,8445
AM,16472,15514
AP,2328,2202
BA,55415,66514
CE,4206,10639
DF,2190,4118
ES,2081,2206
GO,4008,3880
MA,18083,13154
MG,19464,47956
MS,2808,4798
MT,2064,14868
PA,40995,39765
PB,12086,13473
PE,9501,4934
PI,5855,10190
PR,5585,15482
RJ,16433,31613
RN,9115,13241
RO,2533,4689
RR,2033,2474
RS,11935,34639
SC,3359,13074
SE,5321,3867
SP,24733,58691
TO,1312,2363
