Estado,Total_Fundamental,Total_Medio,Total_Geral,Taxa_Abandono_EF2015,Taxa_Abandono_EM2015,Abandono_EF,Abandono_EM,Total_Abandonos
Acre,162822.0,43510.0,206332.0,2.7,9.6,4396,4177,8573
Alagoas,523412.0,123281.0,646693.0,5.1,13.8,26694,17013,43707
Amapá,136957.0,39616.0,176573.0,2.9,10.7,3972,4239,8211
Amazonas,724925.0,189743.0,914668.0,3.9,11.2,28272,21251,49523
Bahia,2125314.0,553472.0,2678786.0,4.0,7.5,85013,41510,126523
Ceará,1273185.0,373407.0,1646592.0,1.5,7.2,19098,26885,45983
Distrito Federal,392237.0,110416.0,502653.0,1.4,3.9,5491,4306,9797
Espírito Santo,509074.0,131715.0,640789.0,1.1,4.7,5600,6191,11791
Goiás,887009.0,256201.0,1143210.0,1.3,5.9,11531,15116,26647
Maranhão,1238309.0,312111.0,1550420.0,3.0,8.2,37149,25593,62742
Mato Grosso,463185.0,157936.0,621121.0,0.6,13.5,2779,21321,24100
Mato Grosso do Sul,404267.0,93257.0,497524.0,1.8,8.9,7277,8300,15577
Minas Gerais,2671665.0,787359.0,3459024.0,1.3,6.7,34732,52753,87485
Paraná,1462474.0,474267.0,1936741.0,1.3,7.7,19012,36519,55531
Paraíba,578115.0,133183.0,711298.0,4.2,11.5,24281,15316,39597
Pará,1475444.0,359979.0,1835423.0,4.4,16.8,64920,60476,125396
Pernambuco,1327947.0,364620.0,1692567.0,2.2,2.3,29215,8386,37601
Piauí,506726.0,142843.0,649569.0,2.5,11.8,12668,16855,29523
Rio Grande do Norte,486565.0,129452.0,616017.0,3.4,10.8,16543,13981,30524
Rio Grande do Sul,1337697.0,385200.0,1722897.0,1.1,7.1,14715,27349,42064
Rio de Janeiro,2074921.0,583177.0,2658098.0,1.4,3.6,29049,20994,50043
Rondônia,277290.0,64827.0,342117.0,2.1,9.3,5823,6029,11852
Roraima,91651.0,22995.0,114646.0,2.9,9.2,2658,2116,4774
Santa Catarina,837863.0,242166.0,1080029.0,0.5,7.4,4189,17920,22109
Sergipe,344083.0,81799.0,425882.0,4.3,13.4,14796,10961,25757
São Paulo,5365948.0,1850964.0,7216912.0,0.7,3.2,37562,59231,96793
Tocantins,252125.0,68654.0,320779.0,1.7,7.7,4286,5286,9572
