Estado,Total_Fundamental,Total_Medio,Total_Geral,Taxa_Abandono_EF2022,Taxa_Abandono_EM2022,Abandono_EF,Abandono_EM,Total_Abandonos
Acre,149645.0,41636.0,191281.0,2.7,8.9,4040,3706,7746
Alagoas,453292.0,127502.0,580794.0,1.6,6.7,7253,8543,15796
Amapá,132504.0,32873.0,165377.0,1.7,6.8,2253,2235,4488
Amazonas,696897.0,199896.0,896793.0,2.4,7.8,16726,15592,32318
Bahia,1910489.0,569637.0,2480126.0,2.9,11.7,55404,66648,122052
Ceará,1153226.0,359427.0,1512653.0,0.3,2.9,3460,10423,13883
Distrito Federal,365079.0,114414.0,479493.0,0.6,3.6,2190,4119,6309
Espírito Santo,501919.0,127054.0,628973.0,0.5,1.8,2510,2287,4797
Goiás,862812.0,249164.0,1111976.0,0.5,1.6,4314,3987,8301
Maranhão,1084585.0,277358.0,1361943.0,1.7,4.8,18438,13313,31751
Mato Grosso,501193.0,154545.0,655738.0,0.5,9.7,2506,14991,17497
Mato Grosso do Sul,393401.0,104448.0,497849.0,0.7,4.7,2754,4909,7663
Minas Gerais,2407621.0,707944.0,3115565.0,0.8,6.8,19261,48140,67401
Paraná,1380369.0,428566.0,1808935.0,0.4,3.6,5521,15428,20949
Paraíba,534889.0,144453.0,679342.0,2.2,9.4,11768,13579,25347
Pará,1368026.0,368383.0,1736409.0,3.1,10.8,42409,39785,82194
Pernambuco,1246567.0,342004.0,1588571.0,0.8,1.5,9973,5130,15103
Piauí,452465.0,131808.0,584273.0,1.3,7.8,5882,10281,16163
Rio Grande do Norte,447245.0,132517.0,579762.0,2.0,10.1,8945,13384,22329
Rio Grande do Sul,1263544.0,365084.0,1628628.0,1.0,9.5,12635,34683,47318
Rio de Janeiro,1960826.0,596206.0,2557032.0,0.8,5.3,15687,31599,47286
Rondônia,237067.0,66933.0,304000.0,1.1,7.1,2608,4752,7360
Roraima,107058.0,28875.0,135933.0,1.9,8.6,2034,2483,4517
Santa Catarina,922946.0,264642.0,1187588.0,0.3,5.0,2769,13232,16001
Sergipe,314459.0,84978.0,399437.0,1.7,4.6,5346,3909,9255
São Paulo,5379711.0,1778846.0,7158557.0,0.4,3.3,21519,58702,80221
Tocantins,224393.0,67502.0,291895.0,0.5,3.5,1122,2363,3485
