UF,Resultado_Multiplicacao_EF2015,Resultado_Multiplicacao_EM2015
AC,4368,4167
AL,26627,16903
AM,28447,21298
AP,3956,4237
BA,84904,41205
CE,19222,27069
DF,5491,4306
ES,5538,6142
GO,11209,14990
MA,36766,25516
MG,33515,51717
MS,7204,8253
MT,2840,21061
PA,64920,60667
PB,24520,15239
PE,28710,8234
PI,12758,16842
PR,18753,36060
RJ,29740,21317
RN,16395,13861
RO,5815,6022
RR,2656,2093
RS,14437,27107
SC,4283,18009
SE,14749,10859
SP,36159,57967
TO,4134,5210
