UF,Resultado_Multiplicacao_EF2009,Resultado_Multiplicacao_EM2009
AC,7947,4406
AL,58854,25341
AM,60986,21432
AP,4890,6447
BA,195010,118080
CE,54513,54121
DF,6725,7661
ES,13885,14718
GO,39272,32261
MA,60961,43923
MG,75555,76711
MS,10596,10727
MT,14624,22836
PA,111094,71954
PB,59837,26620
PE,95444,60700
PI,27893,36243
PR,36882,39182
RJ,73926,87653
RN,35878,31730
RO,10175,7025
RR,2437,1354
RS,23732,48313
SC,7025,16331
SE,21776,13671
SP,45968,68603
TO,5495,5688
