Estado,Total_Fundamental,Total_Medio,Total_Geral,Taxa_Abandono_EF2012,Taxa_Abandono_EM2012,Abandono_EF,Abandono_EM,Total_Abandonos
Acre,164690.0,39273.0,203963.0,3.2,10.2,5270,4006,9276
Alagoas,589932.0,131801.0,721733.0,7.5,18.2,44245,23988,68233
Amapá,143966.0,39122.0,183088.0,3.5,17.7,5039,6925,11964
Amazonas,763248.0,181519.0,944767.0,5.6,11.6,42742,21056,63798
Bahia,2322775.0,589072.0,2911847.0,5.5,14.1,127753,83059,210812
Ceará,1378142.0,406728.0,1784870.0,2.3,9.7,31697,39453,71150
Distrito Federal,411703.0,111774.0,523477.0,1.4,7.3,5764,8160,13924
Espírito Santo,528155.0,137357.0,665512.0,1.4,7.3,7394,10027,17421
Goiás,914144.0,262168.0,1176312.0,2.6,7.2,23768,18876,42644
Maranhão,1305722.0,308440.0,1614162.0,3.7,12.0,48312,37013,85325
Mato Grosso,479239.0,159664.0,638903.0,1.1,13.0,5272,20756,26028
Mato Grosso do Sul,416810.0,100488.0,517298.0,2.5,10.3,10420,10350,20770
Minas Gerais,2831003.0,848983.0,3679986.0,1.8,9.0,50958,76408,127366
Paraná,1559820.0,484633.0,2044453.0,1.6,6.2,24957,30047,55004
Paraíba,620359.0,142326.0,762685.0,6.2,14.9,38462,21207,59669
Pará,1519625.0,356554.0,1876179.0,4.8,16.6,72942,59188,132130
Pernambuco,1449834.0,392399.0,1842233.0,3.7,7.4,53644,29038,82682
Piauí,550242.0,155998.0,706240.0,3.5,16.9,19258,26364,45622
Rio Grande do Norte,510375.0,145943.0,656318.0,4.7,16.7,23988,24372,48360
Rio Grande do Sul,1463240.0,402506.0,1865746.0,1.3,10.3,19022,41458,60480
Rio de Janeiro,2245063.0,603198.0,2848261.0,1.7,7.4,38166,44637,82803
Rondônia,285531.0,65762.0,351293.0,2.7,11.5,7709,7563,15272
Roraima,92564.0,21055.0,113619.0,3.3,11.2,3055,2358,5413
Santa Catarina,851370.0,254730.0,1106100.0,0.8,6.9,6811,17576,24387
Sergipe,363402.0,81763.0,445165.0,4.8,13.7,17443,11202,28645
São Paulo,5805590.0,1885376.0,7690966.0,0.9,4.6,52250,86727,138977
Tocantins,260083.0,69310.0,329393.0,1.7,7.2,4421,4990,9411
