UF,Resultado_Multiplicacao_EF2021,Resultado_Multiplicacao_EM2021
AC,3942,2499
AL,5032,9520
AM,17352,11545
AP,2968,2588
BA,63778,66789
CE,2854,6867
DF,369,1168
ES,3111,2923
GO,4752,3075
MA,27648,17854
MG,20037,23808
MS,1454,1468
MT,2089,8385
PA,43352,60989
PB,9561,4780
PE,7454,4968
PI,6255,5893
PR,3190,4100
RJ,18673,10773
RN,16471,19557
RO,2452,3370
RR,1456,1285
RS,18474,32518
SC,3887,19399
SE,4213,2571
SP,32825,53908
TO,1401,2183
