Estado,Total_Fundamental,Total_Medio,Total_Geral,Taxa_Abandono_EF2014,Taxa_Abandono_EM2014,Abandono_EF,Abandono_EM,Total_Abandonos
Acre,163799.0,42245.0,206044.0,2.7,10.5,4423,4436,8859
Alagoas,539115.0,127981.0,667096.0,5.7,13.9,30730,17789,48519
Amapá,138886.0,38626.0,177512.0,2.9,12.6,4028,4867,8895
Amazonas,737775.0,189948.0,927723.0,4.3,12.2,31724,23174,54898
Bahia,2190287.0,562012.0,2752299.0,4.5,10.0,98563,56201,154764
Ceará,1308391.0,388457.0,1696848.0,1.8,7.9,23551,30688,54239
Distrito Federal,397446.0,110591.0,508037.0,1.2,5.2,4769,5751,10520
Espírito Santo,515982.0,134950.0,650932.0,1.4,6.8,7224,9177,16401
Goiás,894034.0,259497.0,1153531.0,1.5,5.8,13411,15051,28462
Maranhão,1257625.0,311618.0,1569243.0,3.3,9.8,41502,30539,72041
Mato Grosso,464859.0,159680.0,624539.0,0.7,12.4,3254,19800,23054
Mato Grosso do Sul,403150.0,99328.0,502478.0,2.1,8.2,8466,8145,16611
Minas Gerais,2745912.0,796167.0,3542079.0,1.3,7.5,35697,59713,95410
Paraná,1493849.0,476207.0,1970056.0,1.3,6.8,19420,32382,51802
Paraíba,589897.0,138252.0,728149.0,4.7,12.7,27725,17558,45283
Pará,1497064.0,359736.0,1856800.0,4.4,16.1,65871,57917,123788
Pernambuco,1373572.0,383909.0,1757481.0,2.8,3.2,38460,12285,50745
Piauí,519819.0,137773.0,657592.0,3.0,13.7,15595,18875,34470
Rio Grande do Norte,493086.0,135609.0,628695.0,3.5,10.0,17258,13561,30819
Rio Grande do Sul,1374717.0,396596.0,1771313.0,1.2,7.9,16497,31331,47828
Rio de Janeiro,2159990.0,599482.0,2759472.0,1.7,5.6,36720,33571,70291
Rondônia,283279.0,65223.0,348502.0,2.4,9.3,6799,6066,12865
Roraima,92795.0,22721.0,115516.0,2.4,8.3,2227,1886,4113
Santa Catarina,799552.0,284172.0,1083724.0,0.5,6.5,3998,18471,22469
Sergipe,350168.0,81801.0,431969.0,4.4,13.6,15407,11125,26532
São Paulo,5537627.0,1928274.0,7465901.0,0.9,4.2,49839,80988,130827
Tocantins,248836.0,70525.0,319361.0,1.7,8.1,4230,5713,9943
