UF,Resultado_Multiplicacao_EF2016,Resultado_Multiplicacao_EM2016
AC,3672,3765
AL,23344,15771
AM,23749,18016
AP,4039,3571
BA,85478,41866
CE,17646,32941
DF,4263,3966
ES,4238,4887
GO,10376,13098
MA,34507,25829
MG,31114,52699
MS,6460,7597
MT,2912,15626
PA,59102,49586
PB,25955,17210
PE,26928,5790
PI,12434,14434
PR,13823,27799
RJ,33700,40687
RN,15464,10558
RO,5278,4353
RR,1891,1623
RS,12771,23475
SC,3553,13903
SE,13452,9507
SP,36657,70438
TO,3663,4236
