Estado,Total_Fundamental,Total_Medio,Total_Geral,Taxa_Abandono_EF2017,Taxa_Abandono_EM2017,Abandono_EF,Abandono_EM,Total_Abandonos
Acre,159416.0,40226.0,199642.0,2.3,6.8,3667,2735,6402
Alagoas,503322.0,118933.0,622255.0,3.3,8.7,16610,10347,26957
Amapá,135995.0,37428.0,173423.0,2.4,8.8,3264,3294,6558
Amazonas,713666.0,199808.0,913474.0,3.1,8.9,22124,17783,39907
Bahia,2079459.0,570301.0,2649760.0,3.7,8.5,76940,48476,125416
Ceará,1221954.0,369610.0,1591564.0,1.1,6.0,13441,22177,35618
Distrito Federal,381463.0,109143.0,490606.0,1.2,4.6,4578,5021,9599
Espírito Santo,504055.0,123937.0,627992.0,0.8,2.9,4032,3594,7626
Goiás,877890.0,225538.0,1103428.0,0.8,2.3,7023,5187,12210
Maranhão,1197628.0,318515.0,1516143.0,2.5,6.1,29941,19429,49370
Mato Grosso,463469.0,142495.0,605964.0,0.7,10.2,3244,14534,17778
Mato Grosso do Sul,404450.0,96512.0,500962.0,1.4,7.7,5662,7431,13093
Minas Gerais,2549399.0,842697.0,3392096.0,1.2,7.2,30593,60674,91267
Paraná,1440374.0,439815.0,1880189.0,0.9,6.8,12963,29907,42870
Paraíba,568156.0,143636.0,711792.0,3.8,11.2,21590,16087,37677
Pará,1454390.0,359127.0,1813517.0,3.7,12.2,53812,43813,97625
Pernambuco,1316293.0,352383.0,1668676.0,1.8,1.5,23693,5286,28979
Piauí,488300.0,141248.0,629548.0,2.1,9.5,10254,13419,23673
Rio Grande do Norte,475645.0,126265.0,601910.0,3.0,9.2,14269,11616,25885
Rio Grande do Sul,1323307.0,347637.0,1670944.0,1.0,7.5,13233,26073,39306
Rio de Janeiro,2019459.0,573300.0,2592759.0,1.3,4.1,26253,23505,49758
Rondônia,272328.0,60537.0,332865.0,1.3,6.4,3540,3874,7414
Roraima,93652.0,22838.0,116490.0,1.9,7.7,1779,1759,3538
Santa Catarina,843520.0,221744.0,1065264.0,0.4,6.3,3374,13970,17344
Sergipe,334473.0,79237.0,413710.0,3.1,10.5,10369,8320,18689
São Paulo,5276326.0,1802429.0,7078755.0,0.6,3.3,31658,59480,91138
Tocantins,249691.0,65045.0,314736.0,1.2,5.6,2996,3643,6639
