UF,Resultado_Multiplicacao_EF2020,Resultado_Multiplicacao_EM2020
AC,2817,1358
AL,5122,553
AM,5352,255
AP,2100,811
BA,58084,5068
CE,10531,9958
DF,746,671
ES,2451,2602
GO,5754,4305
MA,26075,14968
MG,47400,54104
MS,946,726
MT,940,951
PA,23382,2149
PB,13301,3303
PE,17030,1291
PI,7528,6618
PR,7937,13090
RJ,25162,3123
RN,7254,732
RO,5294,1438
RR,704,185
RS,4142,21010
SC,2002,8974
SE,3731,1546
SP,7412,6418
TO,2651,2660
