Estado,Total_Fundamental,Total_Medio,Total_Geral,Taxa_Abandono_EF2018,Taxa_Abandono_EM2018,Abandono_EF,Abandono_EM,Total_Abandonos
Acre,157646.0,38141.0,195787.0,2.2,6.3,3468,2403,5871
Alagoas,490587.0,118393.0,608980.0,2.9,8.2,14227,9708,23935
Amapá,136185.0,35427.0,171612.0,2.4,10.4,3268,3684,6952
Amazonas,705007.0,205698.0,910705.0,2.8,10.5,19740,21598,41338
Bahia,2034711.0,566952.0,2601663.0,3.3,9.0,67145,51026,118171
Ceará,1198116.0,367781.0,1565897.0,0.9,4.6,10783,16918,27701
Distrito Federal,377622.0,109938.0,487560.0,0.7,3.6,2643,3958,6601
Espírito Santo,502059.0,116959.0,619018.0,0.7,2.8,3514,3275,6789
Goiás,877593.0,233412.0,1111005.0,0.8,2.5,7021,5835,12856
Maranhão,1178949.0,311830.0,1490779.0,2.3,6.7,27116,20893,48009
Mato Grosso,471613.0,140019.0,611632.0,0.6,9.4,2830,13162,15992
Mato Grosso do Sul,404114.0,102123.0,506237.0,1.3,7.4,5253,7557,12810
Minas Gerais,2511483.0,821349.0,3332832.0,1.1,7.8,27626,64065,91691
Paraná,1427218.0,424898.0,1852116.0,0.8,6.3,11418,26769,38187
Paraíba,556248.0,141297.0,697545.0,3.0,9.5,16687,13423,30110
Pará,1439788.0,359331.0,1799119.0,3.6,12.8,51832,45994,97826
Pernambuco,1301930.0,339909.0,1641839.0,1.3,1.2,16925,4079,21004
Piauí,480126.0,135125.0,615251.0,1.8,9.0,8642,12161,20803
Rio Grande do Norte,467629.0,124592.0,592221.0,2.6,8.6,12158,10715,22873
Rio Grande do Sul,1298736.0,338065.0,1636801.0,0.9,7.4,11689,25017,36706
Rio de Janeiro,2003315.0,572899.0,2576214.0,1.3,4.3,26043,24635,50678
Rondônia,269626.0,59573.0,329199.0,1.4,6.6,3775,3932,7707
Roraima,96582.0,22191.0,118773.0,2.0,7.8,1932,1731,3663
Santa Catarina,851993.0,242534.0,1094527.0,0.5,5.3,4260,12854,17114
Sergipe,331297.0,77939.0,409236.0,2.5,8.5,8282,6625,14907
São Paulo,5367614.0,1640170.0,7007784.0,0.5,3.2,26838,52485,79323
Tocantins,246183.0,63384.0,309567.0,1.1,4.9,2708,3106,5814
