UF,Resultado_Multiplicacao_EF2013,Resultado_Multiplicacao_EM2013
AC,4399,4164
AL,35609,19356
AM,36986,21709
AP,4264,5401
BA,98220,48950
CE,26147,33968
DF,4836,6004
ES,6797,9787
GO,13311,15822
MA,42231,33418
MG,40842,68337
MS,8729,9466
MT,3740,21569
PA,67924,59314
PB,29972,17670
PE,42273,18312
PI,15082,19662
PR,21280,30457
RJ,34848,34095
RN,20261,20420
RO,6844,6823
RR,2533,1833
RS,17462,35084
SC,5256,19824
SE,15052,10381
SP,50545,89906
TO,3847,4868
