Estado,Total_Fundamental,Total_Medio,Total_Geral,Taxa_Abandono_EF2009,Taxa_Abandono_EM2009,Abandono_EF,Abandono_EM,Total_Abandonos
Acre,166211.0,34765.0,200976.0,4.3,14.7,7147,5110,12257
Alagoas,651795.0,133638.0,785433.0,5.2,24.3,33893,32474,66367
Amapá,142783.0,37013.0,179796.0,1.5,21.1,2142,7810,9952
Amazonas,787156.0,160642.0,947798.0,5.6,16.9,44081,27148,71229
Bahia,2560931.0,639970.0,3200901.0,4.5,22.8,115242,145913,261155
Ceará,1555201.0,416922.0,1972123.0,2.2,16.4,34214,68375,102589
Distrito Federal,420369.0,104956.0,525325.0,0.7,10.4,2943,10915,13858
Espírito Santo,549561.0,138944.0,688505.0,1.0,13.2,5496,18341,23837
Goiás,942378.0,267858.0,1210236.0,2.2,13.7,20732,36697,57429
Maranhão,1384194.0,319679.0,1703873.0,3.0,17.1,41526,54665,96191
Mato Grosso,511770.0,145276.0,657046.0,1.6,18.4,8188,26731,34919
Mato Grosso do Sul,422425.0,91662.0,514087.0,1.4,13.7,5914,12558,18472
Minas Gerais,3144422.0,824798.0,3969220.0,0.9,11.6,28300,95677,123977
Paraná,1699448.0,474278.0,2173726.0,0.4,9.9,6798,46954,53752
Paraíba,685349.0,149469.0,834818.0,5.4,23.2,37009,34677,71686
Pará,1546601.0,346796.0,1893397.0,6.0,24.4,92796,84618,177414
Pernambuco,1545868.0,437302.0,1983170.0,3.8,16.3,58743,71280,130023
Piauí,609593.0,178778.0,788371.0,2.7,26.7,16459,47734,64193
Rio Grande do Norte,554519.0,152326.0,706845.0,3.7,25.3,20517,38538,59055
Rio Grande do Sul,1577334.0,416628.0,1993962.0,0.6,15.4,9464,64161,73625
Rio de Janeiro,2368429.0,635618.0,3004047.0,2.4,16.9,56842,107419,164261
Rondônia,298496.0,61074.0,359570.0,1.6,14.0,4776,8550,13326
Roraima,86547.0,17512.0,104059.0,1.0,10.2,865,1786,2651
Santa Catarina,898622.0,244190.0,1142812.0,0.3,8.7,2696,21245,23941
Sergipe,382996.0,84844.0,467840.0,3.4,20.6,13022,17478,30500
São Paulo,6100512.0,1757519.0,7858031.0,0.2,4.6,12201,80846,93047
Tocantins,274662.0,65966.0,340628.0,1.3,11.0,3571,7256,10827
