Estado,Total_Fundamental,Total_Medio,Total_Geral,Taxa_Abandono_EF2013,Taxa_Abandono_EM2013,Abandono_EF,Abandono_EM,Total_Abandonos
Acre,163294.0,41693.0,204987.0,2.7,10.0,4409,4169,8578
Alagoas,564389.0,129996.0,694385.0,6.4,14.9,36121,19369,55490
Amapá,140874.0,37536.0,178410.0,3.1,14.3,4367,5368,9735
Amazonas,753423.0,185228.0,938651.0,5.0,11.8,37671,21857,59528
Bahia,2238360.0,575378.0,2813738.0,4.4,8.6,98488,49483,147971
Ceará,1334512.0,400014.0,1734526.0,1.9,8.5,25356,34001,59357
Distrito Federal,403001.0,109171.0,512172.0,1.2,5.5,4836,6004,10840
Espírito Santo,522377.0,136558.0,658935.0,1.3,7.2,6791,9832,16623
Goiás,901044.0,260562.0,1161606.0,1.5,6.1,13516,15894,29410
Maranhão,1287895.0,308815.0,1596710.0,3.3,10.9,42501,33661,76162
Mato Grosso,471582.0,160550.0,632132.0,0.8,13.5,3773,21674,25447
Mato Grosso do Sul,407729.0,99411.0,507140.0,2.2,9.5,8970,9444,18414
Minas Gerais,2775695.0,821588.0,3597283.0,1.5,8.4,41635,69013,110648
Paraná,1528742.0,479519.0,2008261.0,1.4,6.4,21402,30689,52091
Paraíba,605957.0,139415.0,745372.0,5.0,12.7,30298,17706,48004
Pará,1511973.0,355976.0,1867949.0,4.5,16.6,68039,59092,127131
Pernambuco,1416836.0,386668.0,1803504.0,3.0,4.7,42505,18173,60678
Piauí,533279.0,148150.0,681429.0,2.8,13.4,14932,19852,34784
Rio Grande do Norte,501937.0,141532.0,643469.0,4.0,14.6,20077,20664,40741
Rio Grande do Sul,1422852.0,396297.0,1819149.0,1.2,8.9,17074,35270,52344
Rio de Janeiro,2222442.0,596879.0,2819321.0,1.5,5.7,33337,34022,67359
Rondônia,279837.0,65015.0,344852.0,2.5,10.5,6996,6827,13823
Roraima,95158.0,21916.0,117074.0,2.7,8.4,2569,1841,4410
Santa Catarina,819239.0,271439.0,1090678.0,0.7,7.4,5735,20086,25821
Sergipe,356994.0,81568.0,438562.0,4.3,12.9,15351,10522,25873
São Paulo,5673142.0,1892016.0,7565158.0,0.9,4.7,51058,88925,139983
Tocantins,255039.0,71158.0,326197.0,1.5,6.9,3826,4910,8736
