Estado,Total_Fundamental,Total_Medio,Total_Geral,Taxa_Abandono_EF2016,Taxa_Abandono_EM2016,Abandono_EF,Abandono_EM,Total_Abandonos
Acre,160484.0,42573.0,203057.0,2.3,9.0,3691,3832,7523
Alagoas,514920.0,122495.0,637415.0,4.6,12.8,23686,15679,39365
Amapá,136651.0,39163.0,175814.0,2.9,9.1,3963,3564,7527
Amazonas,721071.0,196480.0,917551.0,3.3,9.1,23795,17880,41675
Bahia,2112634.0,570450.0,2683084.0,4.1,7.4,86618,42213,128831
Ceará,1248635.0,379866.0,1628501.0,1.5,8.6,18730,32668,51398
Distrito Federal,387572.0,110189.0,497761.0,1.1,3.6,4263,3967,8230
Espírito Santo,505684.0,129409.0,635093.0,0.9,3.8,4551,4918,9469
Goiás,887526.0,247506.0,1135032.0,1.1,5.4,9763,13365,23128
Maranhão,1217005.0,319656.0,1536661.0,2.9,8.1,35293,25892,61185
Mato Grosso,464905.0,149456.0,614361.0,0.7,10.5,3254,15693,18947
Mato Grosso do Sul,405963.0,95205.0,501168.0,1.6,8.1,6495,7712,14207
Minas Gerais,2603248.0,835089.0,3438337.0,1.2,6.4,31239,53446,84685
Paraná,1447195.0,457620.0,1904815.0,0.9,6.1,13025,27915,40940
Paraíba,576832.0,140772.0,717604.0,4.5,12.3,25957,17315,43272
Pará,1465874.0,364418.0,1830292.0,4.0,13.6,58635,49561,108196
Pernambuco,1329821.0,361851.0,1691672.0,2.1,1.6,27926,5790,33716
Piauí,497338.0,142710.0,640048.0,2.6,10.2,12931,14556,27487
Rio Grande do Norte,480959.0,126545.0,607504.0,3.2,8.4,15391,10630,26021
Rio Grande do Sul,1338719.0,357808.0,1696527.0,0.9,6.6,12048,23615,35663
Rio de Janeiro,2047208.0,591882.0,2639090.0,1.6,6.9,32755,40840,73595
Rondônia,277002.0,60916.0,337918.0,1.9,7.2,5263,4386,9649
Roraima,92618.0,22461.0,115079.0,2.1,7.3,1945,1640,3585
Santa Catarina,838179.0,235288.0,1073467.0,0.4,6.0,3353,14117,17470
Sergipe,337993.0,81179.0,419172.0,3.9,11.8,13182,9579,22761
São Paulo,5343661.0,1885281.0,7228942.0,0.7,3.7,37406,69755,107161
Tocantins,251781.0,66772.0,318553.0,1.5,6.4,3777,4273,8050
